Lat,Lon,Adjusted Rad
40.76121,-98.80432,463.06858940585374
40.76115,-98.80454,463.0533819417728
40.76066,-98.80633,463.1334284729212
40.75999,-98.80878,463.16377602643183
40.75986,-98.80923,463.145217409579
40.7598,-98.80945,463.13521616055164
40.75907,-98.81213,463.15689978046123
40.75894,-98.81258,463.2221735641004
40.75832,-98.81484,463.2176921661071
40.75772,-98.81704,463.2519124237342
40.75565,-98.82457,463.30926657341627
40.75517,-98.82634,463.3943478238965
40.75504,-98.82678,463.37791790938263
40.75385,-98.83114,463.41605230242453
40.75345,-98.83261,463.4608404199836
40.75333,-98.833,463.4337389363117
40.75277,-98.83506,463.48887145858646
40.75255,-98.83585,463.4480529288634
40.75249,-98.83604,463.47522317664743
40.75178,-98.83833,463.4784091123909
40.75161,-98.83884,463.22614487579006
40.75139,-98.83961,463.2229918571034
40.75121,-98.84021,463.2209913359445
40.75103,-98.84088,463.2225548674076
40.75078,-98.84178,463.22718390670326
40.75045,-98.84299,463.23778640907415
40.75028,-98.84363,463.2476714022283
40.75022,-98.84385,463.2605038156984
40.75021,-98.84399,463.26445605063236
40.75013,-98.84428,463.2559710087941
40.74988,-98.84523,463.2778666438358
40.74982,-98.84546,463.54182749449035
40.74967,-98.846,463.54116851611064
40.74948,-98.84665,463.5804435045399
40.74921,-98.84764,463.5781762102883
40.74909,-98.84794,463.58379919575407
40.74893,-98.84851,463.6023105558662
40.74875,-98.84921,463.6265973507209
40.74849,-98.85027,463.6226880630441
40.74803,-98.85223,463.61775647590605
40.74786,-98.85294,463.6476357944004
40.7475,-98.85428,463.6449967039954
40.74726,-98.85514,463.6867130410251
40.74716,-98.85549,463.67042296938774
40.74678,-98.85687,463.6700169609863
40.74553,-98.86143,463.78769360023324
40.74431,-98.86588,463.7981825587595
40.74263,-98.87197,463.8700055842638
40.74248,-98.87255,463.91838855206095
40.74225,-98.87345,463.88279480582844
40.74206,-98.87428,463.9322271531217
40.74156,-98.87649,463.8838230171614
40.74052,-98.88112,463.9125519512712
40.74049,-98.88125,463.9291405127499
40.74044,-98.88148,463.96550710991596
40.7403,-98.88206,463.96831460171654
40.73978,-98.88444,463.9894965411159
40.73954,-98.88549,463.9549310421745
40.73908,-98.88755,464.0187475533569
40.73846,-98.89032,464.0049485245164
40.73778,-98.8934,464.0712957749315
40.73736,-98.89528,464.091976406499
40.73686,-98.8975,463.83600475983246
40.73617,-98.90055,463.9010059887874
40.73603,-98.90119,463.91545246726326
40.73411,-98.90976,463.99840942557523
40.73407,-98.91,463.98595549908055
40.73367,-98.91182,464.0111005685664
40.73354,-98.91239,464.06508185474524
40.73331,-98.91345,464.0350705958444
40.733,-98.91479,464.0357455531947
40.73291,-98.91508,464.06146471844244
40.73245,-98.91712,464.0949367925782
40.7324,-98.91735,464.0593802180843
40.73234,-98.91761,464.04488890815566
40.72995,-98.92816,464.16781353831794
40.72922,-98.93142,464.2151126394907
40.72904,-98.93222,464.2791095563851
40.72842,-98.93496,464.3161484940121
40.72804,-98.93665,464.3503729622257
40.72746,-98.93921,464.3020296937487
40.72646,-98.94365,464.3120799595307
40.72618,-98.94498,464.2873884378019
40.72605,-98.94559,464.33455604758
40.72566,-98.94741,464.35742882689993
40.72564,-98.94757,464.35912309086757
40.72564,-98.94758,464.35902367329317
40.72529,-98.94919,464.3637509363095
40.72519,-98.94964,464.3289049817596
40.72513,-98.94987,464.33028942162116
40.72502,-98.95038,464.3783801323112
40.72488,-98.95096,464.358107924164
40.72441,-98.95284,464.36932227297285
40.72439,-98.9529,464.37325683443794
40.72439,-98.95291,464.37360811840375
40.72436,-98.95298,464.37915036767754
40.72407,-98.95425,464.38533317757293
40.72364,-98.95619,464.4332243807696
40.72273,-98.96022,464.47637999811155
40.72244,-98.96151,464.5228975762383
40.72067,-98.96936,464.7051084805885
40.72054,-98.96994,464.7048133632265
40.71987,-98.97294,464.73715280932294
40.71861,-98.9785,464.772950406269
40.71636,-98.9885,464.80182874066213
40.7162,-98.98918,464.76327245541603
40.71615,-98.98941,464.76340070861045
40.71589,-98.99054,464.76974483418576
40.71479,-98.99545,464.8121252566901
40.71454,-98.99654,464.84393855701796
40.71416,-98.99824,464.8456332609871
40.71391,-98.99933,464.8729633125189
40.7134,-99.00158,464.85872063390616
40.71329,-99.00204,464.9057777438122
40.71204,-99.00764,464.9192668466144
40.71117,-99.0115,464.692964474383
40.71114,-99.01181,464.6659148020529
40.71114,-99.01185,464.6623553770669
40.71089,-99.01308,464.7043714320974
40.71078,-99.0136,464.6796964982158
40.71076,-99.01371,464.6745586696372
40.71065,-99.01419,464.69912876416277
40.71049,-99.01493,464.7132613827252
40.71008,-99.01675,464.7218141002393
40.70967,-99.01857,464.7268306495394
40.70932,-99.02013,464.73753585143123
40.70915,-99.02088,464.78230821154
40.70876,-99.02261,464.7916877471562
40.70868,-99.02296,464.7673962349394
40.70857,-99.02344,464.8031827306165
40.70817,-99.02518,464.8325899047818
40.70812,-99.0254,464.83699579997307
40.70802,-99.02586,464.8010451589354
40.70778,-99.02694,464.85069335847896
40.70773,-99.02716,464.83988624664914
40.70763,-99.02759,464.8183609056163
40.70723,-99.02935,464.8422955131106
40.70677,-99.03139,464.89530467817025
40.70612,-99.03425,464.91772540364957
40.70559,-99.03658,464.89265058194616
40.70524,-99.03815,464.91249357670904
40.70436,-99.04203,465.0023646421698
40.70398,-99.04373,465.0136804823775
40.70372,-99.04483,465.0470212238031
40.70359,-99.04539,465.0238149900828
40.70348,-99.04584,465.0312232288858
40.70326,-99.04675,465.0402032112137
40.70291,-99.04829,465.02489385083965
40.70257,-99.04979,465.05976228398345
40.70242,-99.05047,465.07109889232134
40.70227,-99.05114,465.0569643153247
40.70194,-99.0526,465.0613517818472
40.70162,-99.054,465.0886245936321
40.7014,-99.05496,465.1063144621573
40.70101,-99.05671,465.39920627042795
40.7008,-99.05759,465.44651128668374
40.70065,-99.05826,465.44422723029174
40.70055,-99.05869,465.4453191928365
40.70046,-99.05911,465.46259881839126
40.70037,-99.05951,465.4765160857179
40.70031,-99.05978,465.47989808549886
40.70028,-99.05993,465.4796645649441
40.70025,-99.06011,465.47031186670955
40.70022,-99.06034,465.45905766894055
40.70019,-99.06061,465.4578701137094
40.70018,-99.06081,465.45670465087454
40.70015,-99.06116,465.4638811970233
40.70016,-99.06141,465.47158880725965
40.70016,-99.06155,465.4779951059352
40.70016,-99.06195,465.491672098857
